Intensidad_base,Rango_base,Intensidad_prueba,Rango_prueba,X_control,Y_control,X_prueba,Y_prueba
103.04,1.820640091896057,29.36,0.2706800138950347,0.4263396422471547,-1.7700183201503454,0.06338519117596825,-0.26315392351588096
103.17,1.8255400955677032,40.22,0.3766800183057785,0.4445892138226306,-1.7705753504095538,0.09173606956530929,-0.3653386507496167
102.96,1.826340094804764,39.33,0.357140017747879,0.46185227773067067,-1.7669778197381159,0.09031501369040623,-0.3455317504644936
103.44,1.824860091209412,54.99,0.4979000252485275,0.47848945842405616,-1.761011695209852,0.13055242677404388,-0.4804794470171354
105.07,1.812920093536377,43.34,0.418380023241043,0.4922146190217526,-1.7448220638131604,0.11359174873736368,-0.4026645731448985
100.4,1.8305400919914243,58.65,0.5405000275373459,0.5139719824640011,-1.7569034776076906,0.1517595117914076,-0.51875748702906
104.08,1.8363800847530365,58.12,0.5211200273036957,0.5325913410901755,-1.7574522124579484,0.1511364757846137,-0.49872221581198023
104.42,1.838340083360672,77.62,0.6682600313425064,0.5501079116373415,-1.754102490632895,0.1999712314385774,-0.6376385936302998
103.08,1.8395200860500336,77.29,0.6317600303888321,0.5673687895279468,-1.749836221950819,0.19485567264640416,-0.6009592355845906
103.41,1.8428000903129576,89.18,0.735860036611557,0.5852654693217564,-1.74739134233778,0.23370601724327442,-0.6977617723738154
98.11,1.845160086154937,99.58,0.7951400363445282,0.6028670929279619,-1.7438942088910907,0.2597952154821367,-0.75150124644645
101.53,1.8496800911426543,107.01,0.8099000400304794,0.6211810409046767,-1.7422544458230205,0.2719900334679398,-0.7628626983510737
101.89,1.8534800899028776,115.83,0.834520035982132,0.6392709878736996,-1.7397474091744938,0.2878285289973886,-0.7833124717191845
102.42,1.8579200875759123,118.47,0.8593600380420685,0.6575967789688215,-1.7376517280824477,0.3041639932578093,-0.8037312611744853
100.74,1.8621400821208955,138.89,0.8658600389957428,0.6758616379772636,-1.7351589932199025,0.3142629224479188,-0.8068162261036912
92.84,1.7932400798797608,143.9,0.8682000404596328,0.6669445632684022,-1.6646005327446856,0.3229022724345892,-0.8059189988520474
